id,created_at,text
1053407487070822401,2018-10-19 22:08:10,BREAKING: Saudi Arabia admits journalist Jamal Khashoggi was killed after a fight allegedly broke out in consulate https://t.co/uiZGAr1Bye
1053359450747215873,2018-10-19 18:57:18,NEW: JPMorgan Chase CEO Jamie Dimon makes his biggest bet on Silicon Valley with new 'fintech campus' that will hou https://t.co/KjKZ8ufhLz
1053352653353312256,2018-10-19 18:30:17,BREAKING: Russian national charged with attempted election interference ahead of midterm elections. https://t.co/xICMwiyy40
1053327941424369664,2018-10-19 16:52:05,British Pound jumps higher as a report says the UK is said to drop its Brexit demand regarding the Irish border to https://t.co/rObdWvyIEV
1053316312632606720,2018-10-19 16:05:53,"JUST IN: Mega Millions jackpot hits $1,000,000,000 https://t.co/peeTqE5eKL"
1053307382837719040,2018-10-19 15:30:24,NEW: Investors can get big tax breaks if they invest in 'opportunity zones' under new Treasury rules (via @ylanmui) https://t.co/huQpHAbzp1
1053104051792044033,2018-10-19 02:02:26,"BREAKING: China says its economy grew 6.5 percent year-over-year in the third quarter of 2018, missing expectations https://t.co/ziYXyBfvrR"
1053028033387487232,2018-10-18 21:00:22,DowDuPont sinks 6% after taking $4.6B impairment charge related to agriculture reporting unit https://t.co/suPWcA1OrO
1053021380105723909,2018-10-18 20:33:55,"AIG falls more than 3% after forecasting more than $1 billion in catastrophe losses.
https://t.co/SqAkmfCh0R https://t.co/FiCOp8DPyq"
1053017353196380160,2018-10-18 20:17:55,EARNINGS: PayPal Q3 EPS $0.58 Adj. vs. $0.54 Est.; Q3 Revs. $3.68B vs. $3.66B Est. • $PYPL https://t.co/NtWNzpzbuw https://t.co/gTLniLAhYB
1053014392688795649,2018-10-18 20:06:09,EARNINGS: American Express Q3 EPS $1.88 vs. $1.77 Est.; Q3 Revs. $10.14B vs. $10.05B Est. • $AXP https://t.co/ysB0DxRg07
1053012449862082560,2018-10-18 19:58:26,"BREAKING: President Trump says it certainly looks like missing Washington Post journalist Khashoggi is dead, conseq https://t.co/fnSHHWlNf4"
1053004214698430466,2018-10-18 19:25:43,Goldman CEO says Khashoggi killing 'unacceptable' and Saudi Arabia must explain what happened; Goldman's Dina Powel https://t.co/FYKORckGrd
1052974411094085632,2018-10-18 17:27:17,"Stocks extend drop, Dow off nearly 420 points https://t.co/nibntUQFc6 https://t.co/JGeAz48TeN"
1052968724028895237,2018-10-18 17:04:41,Kudlow: China 'has not responded positively to any of our asks' in US trade talks https://t.co/HhyPF8JkpB
1052956163321602049,2018-10-18 16:14:46,"Gary Cohn: President Trump shouldn't comment on independent agencies like the Fed
https://t.co/GWrp0zothN https://t.co/wwpCfNSKb4"
1052954201301704704,2018-10-18 16:06:59,BREAKING: Apple announces October 30 event where it's expected to announce new iPads and Macs https://t.co/MEhYZAcESx
1052949454385483778,2018-10-18 15:48:07,"Stock sell-off accelerates, with Dow falling more than 340 points https://t.co/nRqxcQ4uIX https://t.co/Mx9Bf8kiRl"
1052947754287333376,2018-10-18 15:41:22,Stocks fall as many as 283 points to session low as Treasury Secretary backs out of Saudi investing conference amid https://t.co/aoG19T5wGa
1052945253609742336,2018-10-18 15:31:25,BREAKING: U.S. Treasury Secretary Mnuchin backs out of Saudi investing conference amid questions about missing jour https://t.co/DRSEUciJMe
1052916290686541824,2018-10-18 13:36:20,Dow slides more than 160 points in early trading https://t.co/nibntUQFc6 https://t.co/GOBORUEDro
1052900331137458176,2018-10-18 12:32:55,"US weekly jobless claims total 210,000, vs 212,000 expected https://t.co/1c5X8tUj7S"
